date,closing_price,symbol,type
2020-11-04,2830.5,USD/MNT,forex
2020-11-03,2830.0,USD/MNT,forex
2020-11-02,2845.0,USD/MNT,forex
2020-10-30,2847.0,USD/MNT,forex
2020-10-29,2852.5,USD/MNT,forex
2020-10-28,2855.0,USD/MNT,forex
2020-10-27,2852.5,USD/MNT,forex
2020-10-26,2858.5,USD/MNT,forex
2020-10-23,2835.0,USD/MNT,forex
2020-10-22,2835.0,USD/MNT,forex
2020-10-21,2843.5,USD/MNT,forex
2020-10-20,2835.0,USD/MNT,forex
2020-10-19,2825.0,USD/MNT,forex
2020-10-16,2835.0,USD/MNT,forex
2020-10-15,2830.0,USD/MNT,forex
2020-10-14,2846.0,USD/MNT,forex
2020-10-13,2848.0,USD/MNT,forex
2020-10-09,2849.5,USD/MNT,forex
2020-10-08,2845.0,USD/MNT,forex
2020-10-07,2850.0,USD/MNT,forex
2020-10-06,2867.0,USD/MNT,forex
2020-10-05,2857.0,USD/MNT,forex
2020-10-02,2849.5,USD/MNT,forex
2020-10-01,2856.0,USD/MNT,forex
2020-09-30,2855.0,USD/MNT,forex
2020-09-29,2836.0,USD/MNT,forex
2020-09-28,2890.0,USD/MNT,forex
2020-09-25,2882.5,USD/MNT,forex
2020-09-24,2880.0,USD/MNT,forex
2020-09-23,2867.5,USD/MNT,forex
2020-09-22,2870.0,USD/MNT,forex
2020-09-21,2873.0,USD/MNT,forex
2020-09-18,2867.5,USD/MNT,forex
2020-09-16,2862.5,USD/MNT,forex
2020-09-15,2860.0,USD/MNT,forex
2020-09-14,2857.0,USD/MNT,forex
2020-09-11,2860.0,USD/MNT,forex
2020-09-10,2857.5,USD/MNT,forex
2020-09-09,2837.5,USD/MNT,forex
2020-09-08,2845.0,USD/MNT,forex
2020-09-04,2870.0,USD/MNT,forex
2020-09-03,2889.0,USD/MNT,forex
2020-09-01,2884.0,USD/MNT,forex
2020-08-31,2882.0,USD/MNT,forex
2020-08-28,2884.5,USD/MNT,forex
